date,tests,new_deaths,new_recoveries,active_cases,people_hospitalised,occupied_ventilators,quarantined_people,new_cases
3/3/2020,0,0,0,0,68,0,316,0
3/4/2020,25,0,0,1,65,0,349,1
3/5/2020,92,0,0,1,92,0,490,0
3/6/2020,179,0,0,5,128,0,1299,4
3/7/2020,0,0,0,6,146,0,1548,1
3/8/2020,299,0,0,11,168,0,932,5
3/9/2020,230,0,0,17,467,0,1014,6
3/10/2020,246,0,0,22,220,0,1055,5
3/11/2020,394,0,0,31,317,0,1193,9
3/12/2020,210,1,0,50,384,0,2736,20
3/13/2020,655,1,0,66,521,0,3151,17
3/14/2020,1525,1,0,101,526,0,4413,36
3/15/2020,1079,0,0,122,768,0,7535,21
3/16/2020,0,1,0,173,734,0,10050,52
3/17/2020,2406,1,1,232,822,0,37503,61
3/18/2020,1616,0,0,281,923,0,57185,49
3/19/2020,1681,0,0,349,871,0,76764,68
3/20/2020,1876,0,0,419,898,0,109235,70
3/21/2020,2012,0,0,530,1047,0,128919,111
3/22/2020,2523,2,0,626,1084,0,128980,98
3/23/2020,2520,1,0,740,1138,0,150746,115
3/24/2020,2771,2,0,890,1479,0,167040,152
3/25/2020,3346,3,0,1037,1615,0,209208,150
3/26/2020,3320,3,0,1204,1606,0,234382,170
3/27/2020,4503,0,0,1372,1696,0,256156,168
3/28/2020,4607,2,0,1619,1719,0,265303,249
3/29/2020,4109,4,0,1839,1879,0,269307,224
3/30/2020,3824,9,0,2023,1900,0,270314,193
3/31/2020,4812,2,0,2277,1924,0,171994,256
4/1/2020,4382,10,0,2510,2317,0,183095,243
4/2/2020,5377,14,0,2888,2158,0,174997,392
4/3/2020,5760,14,0,3311,2303,0,160587,437
4/4/2020,5963,8,115,3432,2434,0,131888,244
4/5/2020,7856,15,18,3874,2444,0,143256,475
4/6/2020,4710,13,28,4144,2476,0,148130,311
4/7/2020,6748,22,29,4528,2425,0,153390,435
4/8/2020,7069,29,31,4825,2473,0,152898,357
4/9/2020,8313,16,62,5117,2409,0,158663,370
4/10/2020,10698,7,34,5456,2426,0,166973,380
4/11/2020,11265,27,57,5773,2481,0,162924,401
4/12/2020,8447,24,64,6003,2510,0,151548,318
4/13/2020,5623,13,48,6200,2471,0,144875,258
4/14/2020,4691,18,131,6321,2499,0,145875,270
4/15/2020,8172,23,50,6628,2607,0,142220,380
4/16/2020,12578,28,106,6830,2673,0,138004,336
4/17/2020,10583,18,92,7177,2725,0,118361,457
4/18/2020,13306,15,115,7381,2483,0,124311,334
4/19/2020,11286,13,59,7824,2511,0,111079,515
4/20/2020,9990,20,93,8017,2914,0,105602,306
4/21/2020,10119,20,164,8096,3505,0,98020,263
4/22/2020,14444,25,216,8168,3099,0,103129,313
4/23/2020,11920,28,227,8255,3095,0,97905,342
4/24/2020,14482,40,204,8392,2821,0,87003,381
4/25/2020,13793,30,182,8561,2749,0,79656,381
4/26/2020,11639,12,139,8754,2759,0,78878,344
4/27/2020,7226,26,201,8812,2934,0,82643,285
4/28/2020,12885,34,189,8905,2973,0,85837,316
4/29/2020,13783,28,370,8929,3012,0,88265,422
4/30/2020,13500,20,211,8998,2789,0,92458,300
5/1/2020,16601,7,255,8964,2649,0,95625,228
5/2/2020,11385,12,271,8951,2761,0,96612,270
5/3/2020,9935,15,183,9071,2653,0,96699,318
5/4/2020,7856,19,150,9215,2738,0,100765,313
5/5/2020,10466,19,185,9417,2760,0,101395,406
5/6/2020,16198,18,375,9335,2711,0,103913,311
5/7/2020,15526,22,207,9409,2758,0,104024,303
5/8/2020,17512,20,322,9404,2768,0,102996,337
5/9/2020,17180,9,253,9430,2658,0,100784,288
5/10/2020,16218,15,261,9499,2598,0,97002,345
5/11/2020,14312,11,118,9700,2571,0,96211,330
5/12/2020,16560,28,315,9913,2648,0,96062,556
5/13/2020,20346,23,279,9933,2538,0,96708,322
5/14/2020,26235,22,286,10036,2579,0,95068,411
5/15/2020,21919,24,222,10191,2407,0,90386,401
5/16/2020,25118,8,257,10167,2459,0,84542,241
5/17/2020,18855,10,276,10153,2544,0,80947,272
5/18/2020,15797,11,177,10321,2490,0,76645,356
5/19/2020,17178,12,275,10416,2414,0,76957,382
5/20/2020,21637,14,280,10593,2330,0,77461,471
5/21/2020,22369,10,269,10717,2261,0,77768,403
5/22/2020,22341,10,279,10899,2271,0,80635,471
5/23/2020,31368,11,246,10957,2242,0,79326,315
5/24/2020,16502,3,217,11098,2268,0,78259,361
5/25/2020,12135,11,82,11346,2171,0,78864,341
5/26/2020,22177,17,744,11028,2320,0,79007,443
5/27/2020,23021,4,310,11111,2248,0,79818,397
5/28/2020,21958,10,230,11223,2035,0,79995,352
5/29/2020,26724,13,132,11410,2207,0,80182,332
5/30/2020,25613,10,324,11488,2134,0,78823,412
5/31/2020,16477,3,255,11449,2181,0,77406,219
6/1/2020,15974,10,178,11636,2219,0,78470,375
6/2/2020,14435,18,277,11577,2150,0,78691,236
6/3/2020,21222,23,288,11558,2101,0,79341,292
6/4/2020,29427,2,213,11704,2085,0,81244,361
